city,population,murder_and_manslaughter,robbery,assault,burglary,larceny,automobile_theft,arson
Ashland,"1,206",0,0,2,0,2,0,0
Auburn,"23,214",1,5,15,56,445,10,1
Augusta,"18,629",0,12,17,59,519,9,2
Baileyville,"1,442",0,1,13,5,5,1,0
Bangor,"31,872",1,15,18,64,"1,076",28,4
Bar Harbor,"7,682",0,0,2,10,49,3,0
Bath,"8,309",0,0,4,8,126,2,0
Belfast,"6,720",0,0,3,8,27,3,0
Berwick,"7,860",0,1,3,22,35,3,0
Biddeford,"21,545",0,9,59,53,511,14,1
Boothbay Harbor,"2,204",0,0,1,0,12,1,0
Brewer,"9,000",0,0,3,11,286,5,0
Bridgton,"5,388",0,0,4,6,38,0,0
Brunswick,"20,510",0,1,3,16,297,6,0
Bucksport,"4,926",0,0,2,5,46,4,1
Buxton,"8,345",0,0,9,4,34,2,0
Calais,"2,973",0,0,4,9,50,2,0
Camden,"4,823",0,0,0,0,3,0,0
Cape Elizabeth,"9,352",0,0,0,11,34,1,1
Caribou,"7,548",0,2,6,19,97,10,0
Carrabassett Valley,777,0,0,1,1,9,0,0
Clinton,"3,329",0,0,4,0,14,1,0
Cumberland,"8,295",0,0,0,2,14,1,0
Damariscotta,"2,151",0,0,0,1,44,1,0
Dexter,"3,671",0,1,0,10,33,1,0
Dixfield,"2,465",0,0,0,13,10,2,0
Dover-Foxcroft,"4,033",0,0,2,8,34,1,0
East Millinocket,"2,919",0,0,0,12,28,3,0
Eastport,"1,251",0,0,2,2,5,0,0
Eliot,"6,817",0,1,2,5,17,1,0
Ellsworth,"8,088",0,0,1,11,153,10,0
Fairfield,"6,534",0,1,4,27,75,6,0
Falmouth,"12,378",0,0,3,5,130,1,0
Farmington,"7,603",0,0,4,15,74,1,0
Fort Fairfield,"3,256",0,0,0,5,3,3,0
Fort Kent,"3,816",0,0,0,0,20,0,0
Freeport,"8,593",0,0,0,6,85,2,0
Fryeburg,"3,398",0,0,0,7,41,1,0
Gardiner,"5,645",1,1,2,2,37,3,0
Gorham,"17,818",0,0,5,7,121,3,1
Gouldsboro,"1,745",0,0,0,1,5,0,0
Greenville,"1,595",0,0,0,1,18,2,0
Hallowell,"2,371",0,2,2,3,9,0,0
Hampden,"7,352",0,0,0,6,46,0,0
Holden,"3,081",0,0,3,3,15,3,0
Houlton,"5,720",0,0,16,18,134,8,1
Islesboro,565,0,0,0,1,12,0,0
Jay,"4,586",0,0,4,4,23,3,0
Kennebunk,"11,622",0,0,4,2,43,1,1
Kennebunkport,"3,660",0,0,1,5,24,0,0
Kittery,"9,890",0,0,1,12,78,2,1
Lewiston,"35,865",0,18,58,122,555,39,3
Limestone,"2,200",0,0,2,5,12,1,0
Lincoln,"4,886",0,1,0,14,94,5,0
Lisbon,"8,975",0,1,3,4,46,5,1
Livermore Falls,"3,134",0,0,10,3,28,1,0
Machias,"2,055",0,0,1,6,28,1,0
Madawaska,"3,662",0,0,0,1,33,1,0
Mechanic Falls,"2,973",0,0,1,3,22,1,0
Mexico,"2,605",0,0,0,20,97,1,0
Milbridge,"1,255",0,0,1,1,2,1,0
Millinocket,"4,241",0,0,1,14,63,4,0
Milo,"2,270",0,0,1,1,21,2,0
Monmouth,"4,131",0,0,1,4,11,1,0
Newport,"3,269",0,0,0,13,40,2,0
North Berwick,"4,731",0,0,2,3,16,0,0
Norway,"4,979",0,1,1,15,62,1,1
Oakland,"6,296",0,0,2,12,45,3,0
Ogunquit,931,0,0,0,1,25,1,0
Old Orchard Beach,"8,946",1,2,16,17,86,4,3
Old Town,"7,413",0,1,5,9,63,2,0
Orono,"10,722",0,0,4,6,67,4,0
Oxford,"4,100",0,2,1,10,97,3,0
Paris,"5,112",2,2,0,14,37,4,0
Phippsburg,"2,259",0,0,1,2,4,0,0
Pittsfield,"3,999",0,1,0,3,21,0,0
Portland,"66,458",3,43,86,181,"1,460",74,5
Presque Isle,"8,918",1,1,18,42,171,12,1
Rangeley,"1,143",0,0,0,0,9,1,0
Richmond,"3,440",1,0,0,12,7,4,0
Rockland,"7,128",0,0,3,8,102,8,1
Rockport,"3,378",0,0,1,2,15,1,0
Rumford,"5,670",0,1,5,28,119,3,1
Sabattus,"5,064",0,0,1,6,5,3,0
Saco,"19,908",0,1,8,46,234,20,1
Sanford,"21,233",0,9,19,109,456,13,4
Scarborough,"20,542",1,0,7,15,234,4,0
Searsport,"2,648",0,0,1,4,8,0,0
Skowhegan,"8,214",0,2,13,21,170,8,2
South Berwick,"7,564",0,0,2,11,23,3,0
South Portland,"25,686",0,8,23,39,505,19,3
Southwest Harbor,"1,795",0,0,1,0,17,1,1
Thomaston,"2,767",0,0,0,4,54,7,0
Topsham,"8,863",0,0,3,7,81,1,0
Van Buren,"1,972",0,0,2,0,7,1,0
Veazie,"1,814",0,0,2,10,19,0,1
Waldoboro,"5,041",0,1,1,10,35,0,0
Washburn,"1,533",0,0,0,5,24,5,2
Waterville,"16,765",1,2,17,33,398,11,1
Wells,"10,670",0,2,8,5,44,2,0
Westbrook,"19,166",0,3,24,55,194,16,1
Wilton,"3,924",0,0,5,2,14,1,0
Windham,"18,627",0,3,7,11,154,5,0
Winslow,"7,598",0,1,0,9,56,3,1
Winter Harbor,513,0,0,0,0,0,0,0
Winthrop,"5,979",0,0,5,12,31,2,0
Wiscasset,"3,697",0,0,1,2,20,1,0
Yarmouth,"8,540",0,1,0,4,33,1,0
York,"13,231",0,2,4,11,71,4,2